name,reviews,rating,category,address,website,url,query,facebook_ads_search
M2 Decor Pte Ltd,112,4.8,Interior designer,"Blk 38 Woodlands Industrial Park E1, #05-12, Singapore 757700",m2decor.com,https://www.google.com/maps/place/M2+Decor+Pte+Ltd/data=!4m7!3m6!1s0x31da139a0f66d853:0xc810eab93ec98c2e!8m2!3d1.454737!4d103.7983522!16s%2Fg%2F11g0kfmnjb!19sChIJU9hmD5oT2jERLozJPrnqEMg?authuser=0&hl=en&rclk=1,interior designer Woodlands Singapore,
ID Gallery Interiors,111,4.8,Interior designer,"65 Ubi Rd 1, #01-78 Oxley Bizhub, Singapore 408729",idgallery.com.sg,https://www.google.com/maps/place/ID+Gallery+Interiors/data=!4m7!3m6!1s0x31da178ce8349b29:0x98a2b85f3bf6fe9!8m2!3d1.3323782!4d103.889624!16s%2Fg%2F11clhs8t7v!19sChIJKZs06IwX2jER6W-_84Urigk?authuser=0&hl=en&rclk=1,interior designer Ubi Singapore,
New Interior Design,111,4.9,Interior designer,"53 Joo Chiat Pl, Singapore 427777",newid.com.sg,https://www.google.com/maps/search/?api=1&query=New%20Interior%20Design%2053%20Joo%20Chiat%20Pl%2C%20Singapore%20427777,interior design company Singapore,@newid.sg
2nd Phase Design - Interior Design Studio,108,5,Interior designer,"21 Woodlands Cl, #04-05, Singapore 737854",2ndphasedesign.com,https://www.google.com/maps/place/2nd+Phase+Design+-+Interior+Design+Studio/data=!4m7!3m6!1s0x31da139c059fb6a5:0x978626b0cfc2bb43!8m2!3d1.4350075!4d103.8049209!16s%2Fg%2F11hbpr3gwk!19sChIJpbafBZwT2jERQ7vCz7Amhpc?authuser=0&hl=en&rclk=1,interior designer Woodlands Singapore,
Divas Interior Design,107,4.9,Interior designer,"126 Joo Seng Rd, #02-12 Gold Pine Industrial Building, Singapore 368355",divasinterior.com,https://www.google.com/maps/search/?api=1&query=Divas%20Interior%20Design%20126%20Joo%20Seng%20Rd%2C%20%2302-12%20Gold%20Pine%20Industrial%20Building%2C%20Singapore%20368355,interior design company Singapore,@divasinteriordesign
GinGko Interior Solutions,107,4.5,Interior designer,"4 Defu South Street 1, #06-18, Singapore 533756",,https://www.google.com/maps/search/?api=1&query=GinGko%20Interior%20Solutions%204%20Defu%20South%20Street%201%2C%20%2306-18%2C%20Singapore%20533756,interior design company Singapore,@gingko
Brickwood Studio,106,4.8,Interior designer,"62 Ubi Rd 1, #01-16 Oxley Bizhub2, Singapore 408734",brickwoodstudio.sg,https://www.google.com/maps/place/Brickwood+Studio/data=!4m7!3m6!1s0x31da13f8a1baac25:0x62becbc6892fac09!8m2!3d1.3322686!4d103.892106!16s%2Fg%2F11pcdf6lcs!19sChIJJay6ofgT2jERCawvicbLvmI?authuser=0&hl=en&rclk=1,interior designer Ubi Singapore,
MET Interior,106,4.9,Interior designer,"21 Woodlands Cl, #09-38 Primz Bizhub, Singapore 737854",metinterior.com.sg,https://www.google.com/maps/search/?api=1&query=MET%20Interior%2021%20Woodlands%20Cl%2C%20%2309-38%20Primz%20Bizhub%2C%20Singapore%20737854,interior design company Singapore,@met.interior
IDID Pte Ltd,103,4.8,Interior designer,"160 Paya Lebar Rd, #02-01 Orion@Paya Lebar, Singapore 409022",idid.sg,https://www.google.com/maps/place/IDID+Pte+Ltd/data=!4m7!3m6!1s0x31da17e1d6249b1b:0xe2cb7c75bf8c05a7!8m2!3d1.32926!4d103.8902805!16s%2Fg%2F11ff4rk_sh!19sChIJG5sk1uEX2jERpwWMv3V8y-I?authuser=0&hl=en&rclk=1,interior designer Paya Lebar Singapore,
InsideLookz Design,101,5,Interior designer,"60 Paya Lebar Road #10-45, Lobby, #2 Paya Lebar Square, 409051",insidelookz.com.sg,https://www.google.com/maps/place/InsideLookz+Design/data=!4m7!3m6!1s0x31da18183cfe6353:0x4d75a12e6426d885!8m2!3d1.3184358!4d103.8927403!16s%2Fg%2F11hz18bxx8!19sChIJU2P-PBgY2jERhdgmZC6hdU0?authuser=0&hl=en&rclk=1,interior designer Paya Lebar Singapore,
